yymmdd,dec_year,year,month,day,day_of_year,sin_doy,cos_doy,Depth,set_depths,Chl,Temp,O2,NO3,PO4,PP
1988-12-18,1988.9617486338798,1988,12,18,353,-0.20510449986861926,0.9787400799669153,5.0,1,0.095,21.45,204.4,0.0,0.0,6.15
1988-12-18,1988.9617486338798,1988,12,18,353,-0.20510449986861926,0.9787400799669153,50.0,40,0.093,21.799,203.2,0.0,0.0,2.15
1988-12-18,1988.9617486338798,1988,12,18,353,-0.20510449986861926,0.9787400799669153,75.0,80,0.122,21.57,203.2,0.06,0.0,0.29
1988-12-18,1988.9617486338798,1988,12,18,353,-0.20510449986861926,0.9787400799669153,100.0,100,0.11,19.736,194.5,0.23,0.03,2.85
1988-12-18,1988.9617486338798,1988,12,18,353,-0.20510449986861926,0.9787400799669153,120.0,120,0.045,19.44,190.7,0.58,0.0,0.16
1989-01-27,1989.0712328767124,1989,1,27,27,0.4482293417404106,0.893918596519257,18.0,20,0.097,20.853,217.6,0.07,0.0,3.78
1989-01-27,1989.0712328767124,1989,1,27,27,0.4482293417404106,0.893918596519257,41.0,40,0.091,20.784,229.5,0.06,0.04,3.5
1989-01-27,1989.0712328767124,1989,1,27,27,0.4482293417404106,0.893918596519257,62.0,60,0.095,20.885,231.6,0.12,0.03,2.02
1989-01-27,1989.0712328767124,1989,1,27,27,0.4482293417404106,0.893918596519257,81.0,80,0.088,20.772,226.5,0.07,0.03,0.77
1989-01-27,1989.0712328767124,1989,1,27,27,0.4482293417404106,0.893918596519257,102.0,100,0.088,20.768,224.8,0.21,0.06,0.49
1989-02-19,1989.1342465753426,1989,2,19,50,0.7583058084785624,0.6518989958787126,20.0,20,0.231,19.438,236.2,0.3,0.03,8.11
1989-02-19,1989.1342465753426,1989,2,19,50,0.7583058084785624,0.6518989958787126,47.0,40,0.592,19.416,229.8,0.62,0.0,1.84
1989-02-19,1989.1342465753426,1989,2,19,50,0.7583058084785624,0.6518989958787126,100.0,100,0.138,19.382,228.6,0.85,0.0,0.12
1989-03-26,1989.2301369863014,1989,3,26,85,0.994217906893952,0.10738134666416309,4.0,1,0.051,20.805,233.4,0.18,0.0,4.02
1989-03-26,1989.2301369863014,1989,3,26,85,0.994217906893952,0.10738134666416309,15.0,20,0.057,20.931,232.5,0.14,0.0,2.85
1989-03-26,1989.2301369863014,1989,3,26,85,0.994217906893952,0.10738134666416309,25.0,20,0.057,20.582,234.2,0.27,0.0,3.8
1989-03-26,1989.2301369863014,1989,3,26,85,0.994217906893952,0.10738134666416309,35.0,40,0.058,20.449,234.6,0.2,0.0,3.54
1989-03-26,1989.2301369863014,1989,3,26,85,0.994217906893952,0.10738134666416309,53.0,60,0.095,20.36,232.4,0.15,0.0,2.96
1989-03-26,1989.2301369863014,1989,3,26,85,0.994217906893952,0.10738134666416309,70.0,60,0.183,19.801,233.7,0.0,0.0,0.4
1989-04-17,1989.2904109589042,1989,4,17,107,0.9634705485641488,-0.2678143051621742,5.0,1,0.065,20.961,233.4,0.0,0.0,3.57
1989-04-17,1989.2904109589042,1989,4,17,107,0.9634705485641488,-0.2678143051621742,17.0,20,0.066,20.976,232.1,0.0,0.0,3.5
1989-04-17,1989.2904109589042,1989,4,17,107,0.9634705485641488,-0.2678143051621742,32.0,40,0.075,20.744,232.1,0.0,0.0,2.49
1989-04-17,1989.2904109589042,1989,4,17,107,0.9634705485641488,-0.2678143051621742,50.0,40,0.109,20.3,239.7,0.0,0.0,2.45
1989-04-17,1989.2904109589042,1989,4,17,107,0.9634705485641488,-0.2678143051621742,64.0,60,0.199,19.677,240.1,0.0,0.0,2.14
1989-04-17,1989.2904109589042,1989,4,17,107,0.9634705485641488,-0.2678143051621742,75.0,80,0.199,19.514,230.7,0.05,0.0,3.16
1989-05-16,1989.3698630136987,1989,5,16,136,0.717676913675962,-0.6963762255968722,3.0,1,0.038,22.533,218.6,0.06,0.0,2.42
1989-05-16,1989.3698630136987,1989,5,16,136,0.717676913675962,-0.6963762255968722,14.0,20,0.039,21.655,221.5,0.08,0.0,1.72
1989-05-16,1989.3698630136987,1989,5,16,136,0.717676913675962,-0.6963762255968722,25.0,20,0.045,21.035,225.3,0.0,0.0,0.86
1989-05-16,1989.3698630136987,1989,5,16,136,0.717676913675962,-0.6963762255968722,39.0,40,0.061,20.699,232.1,0.06,0.0,2.17
1989-05-16,1989.3698630136987,1989,5,16,136,0.717676913675962,-0.6963762255968722,67.0,60,0.16,19.521,225.2,0.05,0.0,1.83
1989-05-16,1989.3698630136987,1989,5,16,136,0.717676913675962,-0.6963762255968722,97.0,100,0.18,19.204,217.1,0.86,0.0,0.67
1989-06-22,1989.4712328767123,1989,6,22,173,0.16280701293851715,-0.986657932891657,16.0,20,0.031,24.266,215.4,0.0,0.0,4.38
1989-06-22,1989.4712328767123,1989,6,22,173,0.16280701293851715,-0.986657932891657,24.0,20,0.032,22.597,226.7,0.0,0.0,4.27
1989-06-22,1989.4712328767123,1989,6,22,173,0.16280701293851715,-0.986657932891657,39.0,40,0.05,21.209,230.9,0.0,0.0,1.86
1989-06-22,1989.4712328767123,1989,6,22,173,0.16280701293851715,-0.986657932891657,66.0,60,0.091,20.062,234.6,0.0,0.05,3.92
1989-07-20,1989.5479452054794,1989,7,20,201,-0.3131070409358267,-0.9497178427914317,1.0,1,0.033,27.084,200.8,0.0,0.0,4.06
1989-07-20,1989.5479452054794,1989,7,20,201,-0.3131070409358267,-0.9497178427914317,20.0,20,0.037,26.79,200.8,0.0,0.0,4.3
1989-07-20,1989.5479452054794,1989,7,20,201,-0.3131070409358267,-0.9497178427914317,40.0,40,0.037,22.67,222.4,0.0,0.0,3.76
1989-07-20,1989.5479452054794,1989,7,20,201,-0.3131070409358267,-0.9497178427914317,60.0,60,0.092,21.244,223.6,0.0,0.0,3.75
1989-07-20,1989.5479452054794,1989,7,20,201,-0.3131070409358267,-0.9497178427914317,80.0,80,0.092,20.371,215.0,0.53,0.0,3.61
1989-07-20,1989.5479452054794,1989,7,20,201,-0.3131070409358267,-0.9497178427914317,100.0,100,0.245,19.788,205.2,0.08,0.0,3.35
1989-08-16,1989.6219178082192,1989,8,16,228,-0.7055836101071774,-0.70862667826446,1.0,1,0.033,26.281,204.5,0.0,0.0,2.75
1989-08-16,1989.6219178082192,1989,8,16,228,-0.7055836101071774,-0.70862667826446,20.0,20,0.042,26.116,205.4,0.0,0.0,5.39
1989-08-16,1989.6219178082192,1989,8,16,228,-0.7055836101071774,-0.70862667826446,40.0,40,0.053,24.367,219.6,0.0,0.0,2.83
1989-08-16,1989.6219178082192,1989,8,16,228,-0.7055836101071774,-0.70862667826446,60.0,60,0.079,21.567,243.7,0.0,0.0,2.41
1989-08-16,1989.6219178082192,1989,8,16,228,-0.7055836101071774,-0.70862667826446,80.0,80,0.094,20.515,228.7,0.0,0.0,0.87
1989-08-16,1989.6219178082192,1989,8,16,228,-0.7055836101071774,-0.70862667826446,100.0,100,0.235,19.559,215.4,0.71,0.0,0.38
1989-08-16,1989.6219178082192,1989,8,16,228,-0.7055836101071774,-0.70862667826446,120.0,120,0.134,19.201,209.0,0.99,0.0,0.89
1989-08-16,1989.6219178082192,1989,8,16,228,-0.7055836101071774,-0.70862667826446,140.0,140,0.035,18.993,211.1,2.32,0.03,0.21
1989-10-20,1989.8,1989,10,20,293,-0.9455963874271428,0.3253420847119795,1.0,1,0.122,26.181,205.3,0.42,0.04,4.46
1989-10-20,1989.8,1989,10,20,293,-0.9455963874271428,0.3253420847119795,20.0,20,0.057,25.835,201.0,0.06,0.0,4.09
1989-10-20,1989.8,1989,10,20,293,-0.9455963874271428,0.3253420847119795,40.0,40,0.083,25.729,202.3,0.1,0.0,1.12
1989-10-20,1989.8,1989,10,20,293,-0.9455963874271428,0.3253420847119795,60.0,60,0.083,23.573,215.7,1.2,0.0,1.84
1989-10-20,1989.8,1989,10,20,293,-0.9455963874271428,0.3253420847119795,80.0,80,0.233,21.84,212.6,0.35,0.0,0.97
1989-10-20,1989.8,1989,10,20,293,-0.9455963874271428,0.3253420847119795,100.0,100,0.248,20.611,223.1,0.0,0.0,0.4
1989-10-20,1989.8,1989,10,20,293,-0.9455963874271428,0.3253420847119795,120.0,120,0.185,19.963,209.5,0.16,0.0,0.13
1989-10-20,1989.8,1989,10,20,293,-0.9455963874271428,0.3253420847119795,140.0,140,0.086,19.573,201.4,1.59,0.05,0.08
1990-01-16,1990.041095890411,1990,1,16,16,0.2719581575341055,0.9623090774541486,1.0,1,0.079,21.732,215.5,0.07,0.0,3.88
1990-01-16,1990.041095890411,1990,1,16,16,0.2719581575341055,0.9623090774541486,20.0,20,0.075,21.727,215.1,0.0,0.0,4.27
1990-01-16,1990.041095890411,1990,1,16,16,0.2719581575341055,0.9623090774541486,40.0,40,0.08,21.731,214.2,0.0,0.0,3.56
1990-01-16,1990.041095890411,1990,1,16,16,0.2719581575341055,0.9623090774541486,60.0,60,0.078,21.795,215.5,0.0,0.0,1.91
1990-01-16,1990.041095890411,1990,1,16,16,0.2719581575341055,0.9623090774541486,80.0,80,0.109,21.552,213.3,0.1,0.0,0.73
1990-01-16,1990.041095890411,1990,1,16,16,0.2719581575341055,0.9623090774541486,100.0,100,0.118,21.081,212.5,0.0,0.0,0.05
1990-01-16,1990.041095890411,1990,1,16,16,0.2719581575341055,0.9623090774541486,120.0,120,0.104,20.836,213.3,0.14,0.0,0.27
1990-01-16,1990.041095890411,1990,1,16,16,0.2719581575341055,0.9623090774541486,140.0,140,0.066,19.556,203.5,0.75,0.0,0.11
1990-02-16,1990.1260273972603,1990,2,16,47,0.7236440382959124,0.6901733882429719,1.0,1,0.095,21.07,221.4,0.0,0.0,4.89
1990-02-16,1990.1260273972603,1990,2,16,47,0.7236440382959124,0.6901733882429719,20.0,20,0.1,21.07,220.1,0.05,0.0,7.32
1990-02-16,1990.1260273972603,1990,2,16,47,0.7236440382959124,0.6901733882429719,40.0,40,0.115,21.07,220.2,0.06,0.0,6.6
1990-02-16,1990.1260273972603,1990,2,16,47,0.7236440382959124,0.6901733882429719,60.0,60,0.129,21.04,219.3,0.37,0.0,4.59
1990-02-16,1990.1260273972603,1990,2,16,47,0.7236440382959124,0.6901733882429719,80.0,80,0.127,21.04,219.3,0.08,0.0,2.44
1990-02-16,1990.1260273972603,1990,2,16,47,0.7236440382959124,0.6901733882429719,100.0,100,0.136,21.07,216.7,0.09,0.0,1.11
1990-02-16,1990.1260273972603,1990,2,16,47,0.7236440382959124,0.6901733882429719,120.0,120,0.136,21.05,216.3,0.11,0.0,0.45
1990-02-16,1990.1260273972603,1990,2,16,47,0.7236440382959124,0.6901733882429719,140.0,140,0.112,21.03,217.6,0.0,0.0,0.0
1990-03-13,1990.194520547945,1990,3,13,72,0.9455963874271426,0.3253420847119801,1.0,1,0.104,20.367,220.9,0.0,0.0,7.38
1990-03-13,1990.194520547945,1990,3,13,72,0.9455963874271426,0.3253420847119801,20.0,20,0.103,20.338,221.8,0.0,0.0,8.6
1990-03-13,1990.194520547945,1990,3,13,72,0.9455963874271426,0.3253420847119801,40.0,40,0.186,20.152,221.8,0.52,0.0,7.45
1990-03-13,1990.194520547945,1990,3,13,72,0.9455963874271426,0.3253420847119801,60.0,60,0.164,20.14,220.5,0.0,0.0,3.95
1990-03-13,1990.194520547945,1990,3,13,72,0.9455963874271426,0.3253420847119801,80.0,80,0.242,20.069,218.4,0.07,0.0,0.95
1990-03-13,1990.194520547945,1990,3,13,72,0.9455963874271426,0.3253420847119801,100.0,100,0.212,20.031,219.2,0.1,0.0,0.34
1990-03-13,1990.194520547945,1990,3,13,72,0.9455963874271426,0.3253420847119801,120.0,120,0.057,19.316,205.6,1.32,0.0,0.16
1990-03-13,1990.194520547945,1990,3,13,72,0.9455963874271426,0.3253420847119801,140.0,140,0.057,18.925,204.3,2.06,0.0,0.19
1990-04-17,1990.2904109589042,1990,4,17,107,0.9634705485641488,-0.2678143051621742,1.0,1,0.085,21.891,224.9,0.04,0.0,13.18
1990-04-17,1990.2904109589042,1990,4,17,107,0.9634705485641488,-0.2678143051621742,20.0,20,0.086,21.696,224.9,0.05,0.0,14.03
1990-04-17,1990.2904109589042,1990,4,17,107,0.9634705485641488,-0.2678143051621742,40.0,40,0.205,21.51,223.6,0.06,0.0,9.69
1990-04-17,1990.2904109589042,1990,4,17,107,0.9634705485641488,-0.2678143051621742,60.0,60,0.34,21.172,222.7,0.0,0.0,3.47
1990-04-17,1990.2904109589042,1990,4,17,107,0.9634705485641488,-0.2678143051621742,80.0,80,0.218,20.877,220.2,0.25,0.0,0.3
1990-04-17,1990.2904109589042,1990,4,17,107,0.9634705485641488,-0.2678143051621742,100.0,100,0.052,19.707,205.2,2.13,0.07,0.34
1990-04-17,1990.2904109589042,1990,4,17,107,0.9634705485641488,-0.2678143051621742,120.0,120,0.052,19.992,205.2,2.13,0.07,0.08
1990-04-17,1990.2904109589042,1990,4,17,107,0.9634705485641488,-0.2678143051621742,140.0,140,0.035,19.115,226.4,0.99,0.0,0.07
1990-05-09,1990.3506849315067,1990,5,9,129,0.7961828637826158,-0.6050560696488488,1.0,1,0.033,21.89,222.3,0.05,0.0,4.63
1990-05-09,1990.3506849315067,1990,5,9,129,0.7961828637826158,-0.6050560696488488,20.0,20,0.033,21.19,221.8,0.05,0.0,4.74
1990-05-09,1990.3506849315067,1990,5,9,129,0.7961828637826158,-0.6050560696488488,40.0,40,0.041,20.682,225.0,0.06,0.0,4.18
1990-05-09,1990.3506849315067,1990,5,9,129,0.7961828637826158,-0.6050560696488488,60.0,60,0.077,20.018,226.1,0.05,0.0,3.3
1990-05-09,1990.3506849315067,1990,5,9,129,0.7961828637826158,-0.6050560696488488,80.0,80,0.12,19.998,225.6,0.08,0.0,1.86
1990-05-09,1990.3506849315067,1990,5,9,129,0.7961828637826158,-0.6050560696488488,100.0,100,0.158,18.899,207.7,1.58,0.0,0.9
1990-05-09,1990.3506849315067,1990,5,9,129,0.7961828637826158,-0.6050560696488488,120.0,120,0.17,18.841,211.9,1.81,0.0,0.4
1990-06-22,1990.4712328767123,1990,6,22,173,0.16280701293851715,-0.986657932891657,1.0,1,0.024,25.067,209.9,0.05,0.0,5.59
1990-06-22,1990.4712328767123,1990,6,22,173,0.16280701293851715,-0.986657932891657,20.0,20,0.024,23.404,212.7,0.08,0.0,5.16
1990-06-22,1990.4712328767123,1990,6,22,173,0.16280701293851715,-0.986657932891657,40.0,40,0.043,21.809,222.8,0.05,0.0,3.92
1990-06-22,1990.4712328767123,1990,6,22,173,0.16280701293851715,-0.986657932891657,60.0,60,0.085,20.56,227.8,0.05,0.0,2.54
1990-06-22,1990.4712328767123,1990,6,22,173,0.16280701293851715,-0.986657932891657,80.0,80,0.109,19.941,226.5,0.05,0.0,1.46
1990-06-22,1990.4712328767123,1990,6,22,173,0.16280701293851715,-0.986657932891657,100.0,100,0.216,19.447,220.9,0.11,0.0,0.38
1990-06-22,1990.4712328767123,1990,6,22,173,0.16280701293851715,-0.986657932891657,120.0,120,0.146,19.296,215.4,0.64,0.0,0.12
1990-06-22,1990.4712328767123,1990,6,22,173,0.16280701293851715,-0.986657932891657,140.0,140,0.055,18.915,211.5,1.82,0.05,0.15
1990-07-17,1990.5397260273974,1990,7,17,198,-0.2636654927280072,-0.9646141756912435,1.0,1,0.024,27.166,211.1,0.09,0.04,2.56
1990-07-17,1990.5397260273974,1990,7,17,198,-0.2636654927280072,-0.9646141756912435,20.0,20,0.034,25.741,229.8,0.05,0.0,3.87
1990-07-17,1990.5397260273974,1990,7,17,198,-0.2636654927280072,-0.9646141756912435,40.0,40,0.093,21.882,226.2,0.05,0.0,2.6
1990-07-17,1990.5397260273974,1990,7,17,198,-0.2636654927280072,-0.9646141756912435,60.0,60,0.058,21.219,213.3,0.0,0.0,2.32
1990-07-17,1990.5397260273974,1990,7,17,198,-0.2636654927280072,-0.9646141756912435,80.0,80,0.054,20.286,217.1,0.0,0.0,1.09
1990-07-17,1990.5397260273974,1990,7,17,198,-0.2636654927280072,-0.9646141756912435,100.0,100,0.132,19.506,215.4,0.33,0.0,0.43
1990-07-17,1990.5397260273974,1990,7,17,198,-0.2636654927280072,-0.9646141756912435,120.0,120,0.054,19.128,209.0,1.28,0.03,0.0
1990-07-17,1990.5397260273974,1990,7,17,198,-0.2636654927280072,-0.9646141756912435,140.0,140,0.049,18.935,209.0,2.11,0.08,0.02
1990-08-14,1990.6164383561643,1990,8,14,226,-0.6807734094770159,-0.7324940716135792,1.0,1,0.02,28.259,203.1,0.0,0.04,2.67
1990-08-14,1990.6164383561643,1990,8,14,226,-0.6807734094770159,-0.7324940716135792,20.0,20,0.019,27.368,205.1,0.0,0.0,3.14
1990-08-14,1990.6164383561643,1990,8,14,226,-0.6807734094770159,-0.7324940716135792,40.0,40,0.028,24.032,227.7,0.0,0.0,1.65
1990-08-14,1990.6164383561643,1990,8,14,226,-0.6807734094770159,-0.7324940716135792,60.0,60,0.041,22.945,232.7,0.0,0.0,2.74
1990-08-14,1990.6164383561643,1990,8,14,226,-0.6807734094770159,-0.7324940716135792,80.0,80,0.051,22.229,227.9,0.0,0.0,1.33
1990-08-14,1990.6164383561643,1990,8,14,226,-0.6807734094770159,-0.7324940716135792,100.0,100,0.115,20.977,215.5,0.0,0.0,1.18
1990-08-14,1990.6164383561643,1990,8,14,226,-0.6807734094770159,-0.7324940716135792,120.0,120,0.162,20.41,206.5,0.0,0.0,0.54
1990-08-14,1990.6164383561643,1990,8,14,226,-0.6807734094770159,-0.7324940716135792,140.0,140,0.038,19.341,190.7,0.89,0.0,0.19
1990-09-11,1990.6931506849314,1990,9,11,254,-0.9427611433904206,-0.33346877891818705,1.0,1,0.021,29.012,197.0,0.0,0.07,3.43
1990-09-11,1990.6931506849314,1990,9,11,254,-0.9427611433904206,-0.33346877891818705,20.0,20,0.024,28.086,198.6,0.0,0.04,3.9
1990-09-11,1990.6931506849314,1990,9,11,254,-0.9427611433904206,-0.33346877891818705,40.0,40,0.042,23.604,231.3,0.0,0.04,2.55
1990-09-11,1990.6931506849314,1990,9,11,254,-0.9427611433904206,-0.33346877891818705,60.0,60,0.062,22.129,230.0,0.0,0.04,2.36
1990-09-11,1990.6931506849314,1990,9,11,254,-0.9427611433904206,-0.33346877891818705,80.0,80,0.093,21.079,222.2,0.0,0.04,1.14
1990-09-11,1990.6931506849314,1990,9,11,254,-0.9427611433904206,-0.33346877891818705,100.0,100,0.116,20.078,208.8,0.0,0.04,0.63
1990-09-11,1990.6931506849314,1990,9,11,254,-0.9427611433904206,-0.33346877891818705,120.0,120,0.082,19.78,195.3,0.37,0.04,0.27
1990-09-11,1990.6931506849314,1990,9,11,254,-0.9427611433904206,-0.33346877891818705,140.0,140,0.024,19.245,195.5,1.14,0.05,0.16
1990-10-15,1990.786301369863,1990,10,15,288,-0.970063921851507,0.2428497220959358,1.0,1,0.04,25.882,211.5,0.0,0.0,4.87
1990-10-15,1990.786301369863,1990,10,15,288,-0.970063921851507,0.2428497220959358,20.0,20,0.045,25.474,210.3,0.0,0.0,5.08
1990-10-15,1990.786301369863,1990,10,15,288,-0.970063921851507,0.2428497220959358,40.0,40,0.077,24.239,225.9,0.0,0.0,3.17
1990-10-15,1990.786301369863,1990,10,15,288,-0.970063921851507,0.2428497220959358,60.0,60,0.101,22.436,229.8,0.0,0.0,3.81
1990-10-15,1990.786301369863,1990,10,15,288,-0.970063921851507,0.2428497220959358,80.0,80,0.115,21.826,226.1,0.0,0.0,2.24
1990-10-15,1990.786301369863,1990,10,15,288,-0.970063921851507,0.2428497220959358,100.0,100,0.116,20.618,214.9,0.0,0.0,1.18
1990-10-15,1990.786301369863,1990,10,15,288,-0.970063921851507,0.2428497220959358,120.0,120,0.074,20.009,215.3,0.09,0.0,0.48
1990-10-15,1990.786301369863,1990,10,15,288,-0.970063921851507,0.2428497220959358,140.0,140,0.033,19.612,209.9,0.48,0.0,0.06
1990-11-06,1990.8465753424657,1990,11,6,310,-0.8115390590073611,0.5842981736283683,1.0,1,0.063,24.415,214.0,0.0,0.0,4.01
1990-11-06,1990.8465753424657,1990,11,6,310,-0.8115390590073611,0.5842981736283683,20.0,20,0.061,24.423,213.3,0.35,0.0,5.32
1990-11-06,1990.8465753424657,1990,11,6,310,-0.8115390590073611,0.5842981736283683,40.0,40,0.079,24.363,219.2,0.0,0.0,4.79
1990-11-06,1990.8465753424657,1990,11,6,310,-0.8115390590073611,0.5842981736283683,60.0,60,0.201,21.981,232.4,0.0,0.0,3.51
1990-11-06,1990.8465753424657,1990,11,6,310,-0.8115390590073611,0.5842981736283683,80.0,80,0.209,21.565,227.4,0.0,0.0,2.18
1990-11-06,1990.8465753424657,1990,11,6,310,-0.8115390590073611,0.5842981736283683,100.0,100,0.162,20.807,219.5,0.0,0.0,1.01
1990-11-06,1990.8465753424657,1990,11,6,310,-0.8115390590073611,0.5842981736283683,120.0,120,0.069,19.86,212.9,0.49,0.0,0.34
1990-11-06,1990.8465753424657,1990,11,6,310,-0.8115390590073611,0.5842981736283683,140.0,140,0.038,19.411,208.0,1.02,0.0,0.07
1990-12-03,1990.9205479452055,1990,12,3,337,-0.4635502709028512,0.8860706215341378,1.0,1,0.049,22.946,218.3,0.0,0.0,8.11
1990-12-03,1990.9205479452055,1990,12,3,337,-0.4635502709028512,0.8860706215341378,20.0,20,0.068,22.7,219.1,0.0,0.0,7.29
1990-12-03,1990.9205479452055,1990,12,3,337,-0.4635502709028512,0.8860706215341378,40.0,40,0.109,22.409,219.1,0.0,0.0,5.58
1990-12-03,1990.9205479452055,1990,12,3,337,-0.4635502709028512,0.8860706215341378,60.0,60,0.147,22.39,217.8,0.0,0.0,2.59
1990-12-03,1990.9205479452055,1990,12,3,337,-0.4635502709028512,0.8860706215341378,80.0,80,0.15,22.389,217.4,0.0,0.0,1.02
1990-12-03,1990.9205479452055,1990,12,3,337,-0.4635502709028512,0.8860706215341378,100.0,100,0.132,21.57,220.3,0.0,0.0,0.26
1990-12-03,1990.9205479452055,1990,12,3,337,-0.4635502709028512,0.8860706215341378,120.0,120,0.052,20.135,207.2,1.34,0.0,0.27
1990-12-03,1990.9205479452055,1990,12,3,337,-0.4635502709028512,0.8860706215341378,140.0,140,0.012,19.633,207.6,1.8,0.0,0.0
1991-01-15,1991.0383561643835,1991,1,15,15,0.255353295116187,0.9668478136052775,1.0,1,0.146,21.106,224.2,0.0,0.0,9.56
1991-01-15,1991.0383561643835,1991,1,15,15,0.255353295116187,0.9668478136052775,20.0,20,0.155,20.979,223.7,0.0,0.0,10.61
1991-01-15,1991.0383561643835,1991,1,15,15,0.255353295116187,0.9668478136052775,40.0,40,0.189,20.968,224.7,0.0,0.0,6.94
1991-01-15,1991.0383561643835,1991,1,15,15,0.255353295116187,0.9668478136052775,60.0,60,0.189,20.88,224.7,0.0,0.0,3.12
1991-01-15,1991.0383561643835,1991,1,15,15,0.255353295116187,0.9668478136052775,80.0,80,0.129,20.94,222.4,0.06,0.0,0.96
1991-01-15,1991.0383561643835,1991,1,15,15,0.255353295116187,0.9668478136052775,100.0,100,0.082,20.822,219.0,0.34,0.0,0.34
1991-01-15,1991.0383561643835,1991,1,15,15,0.255353295116187,0.9668478136052775,120.0,120,0.056,20.78,218.7,0.45,0.0,0.11
1991-01-15,1991.0383561643835,1991,1,15,15,0.255353295116187,0.9668478136052775,140.0,140,0.017,20.395,209.6,1.33,0.0,0.0
1991-02-20,1991.13698630137,1991,2,20,51,0.7694148268839378,0.6387494220515272,1.0,1,0.137,20.584,224.8,0.14,0.0,4.43
1991-02-20,1991.13698630137,1991,2,20,51,0.7694148268839378,0.6387494220515272,40.0,40,0.164,20.377,225.4,0.27,0.0,1.59
1991-02-20,1991.13698630137,1991,2,20,51,0.7694148268839378,0.6387494220515272,60.0,60,0.164,20.377,225.4,0.27,0.0,0.78
1991-02-20,1991.13698630137,1991,2,20,51,0.7694148268839378,0.6387494220515272,80.0,80,0.175,20.381,224.4,0.12,0.0,0.64
1991-02-20,1991.13698630137,1991,2,20,51,0.7694148268839378,0.6387494220515272,100.0,100,0.204,20.385,225.0,0.11,0.0,0.15
1991-02-20,1991.13698630137,1991,2,20,51,0.7694148268839378,0.6387494220515272,120.0,120,0.137,20.389,223.7,0.13,0.0,0.05
1991-02-20,1991.13698630137,1991,2,20,51,0.7694148268839378,0.6387494220515272,140.0,140,0.149,20.393,224.0,0.13,0.0,0.0
1991-03-21,1991.2164383561644,1991,3,21,80,0.9813064702716093,0.19245158197082998,20.0,20,0.181,19.181,227.0,0.37,0.0,15.69
1991-03-21,1991.2164383561644,1991,3,21,80,0.9813064702716093,0.19245158197082998,40.0,40,0.181,19.185,229.4,0.39,0.0,17.04
1991-03-21,1991.2164383561644,1991,3,21,80,0.9813064702716093,0.19245158197082998,60.0,60,0.148,19.179,227.4,0.39,0.0,3.48
1991-03-21,1991.2164383561644,1991,3,21,80,0.9813064702716093,0.19245158197082998,100.0,100,0.157,19.186,227.7,0.4,0.0,0.12
1991-03-21,1991.2164383561644,1991,3,21,80,0.9813064702716093,0.19245158197082998,120.0,120,0.172,19.191,230.8,0.4,0.0,0.22
1991-03-21,1991.2164383561644,1991,3,21,80,0.9813064702716093,0.19245158197082998,140.0,140,0.181,19.184,227.5,0.39,0.0,0.01
1991-04-05,1991.2575342465752,1991,4,5,95,0.9979171608653922,-0.06450844944931623,40.0,40,0.206,19.414,230.2,0.24,0.0,11.46
1991-04-05,1991.2575342465752,1991,4,5,95,0.9979171608653922,-0.06450844944931623,60.0,60,0.247,19.413,230.0,0.26,0.0,4.58
1991-04-05,1991.2575342465752,1991,4,5,95,0.9979171608653922,-0.06450844944931623,80.0,80,0.206,19.416,229.2,0.27,0.0,1.43
1991-04-05,1991.2575342465752,1991,4,5,95,0.9979171608653922,-0.06450844944931623,100.0,100,0.255,19.416,230.1,0.3,0.0,0.22
1991-04-05,1991.2575342465752,1991,4,5,95,0.9979171608653922,-0.06450844944931623,120.0,120,0.148,19.412,229.7,0.34,0.0,0.0
1991-04-05,1991.2575342465752,1991,4,5,95,0.9979171608653922,-0.06450844944931623,140.0,140,0.123,19.36,227.2,0.4,0.0,0.03
1991-04-16,1991.2876712328766,1991,4,16,106,0.9679377830240642,-0.25119006388481935,1.0,1,0.082,19.879,231.4,0.0,0.0,9.71
1991-04-16,1991.2876712328766,1991,4,16,106,0.9679377830240642,-0.25119006388481935,20.0,20,0.137,19.536,231.2,0.0,0.0,10.91
1991-04-16,1991.2876712328766,1991,4,16,106,0.9679377830240642,-0.25119006388481935,40.0,40,0.167,19.488,230.7,0.0,0.0,8.38
1991-04-16,1991.2876712328766,1991,4,16,106,0.9679377830240642,-0.25119006388481935,60.0,60,0.23,19.478,230.7,0.08,0.0,5.37
1991-04-16,1991.2876712328766,1991,4,16,106,0.9679377830240642,-0.25119006388481935,80.0,80,0.247,19.449,228.8,0.11,0.0,2.11
1991-04-16,1991.2876712328766,1991,4,16,106,0.9679377830240642,-0.25119006388481935,100.0,100,0.189,19.387,225.5,0.61,0.0,0.44
1991-04-16,1991.2876712328766,1991,4,16,106,0.9679377830240642,-0.25119006388481935,120.0,120,0.088,19.384,225.8,0.47,0.0,0.69
1991-04-16,1991.2876712328766,1991,4,16,106,0.9679377830240642,-0.25119006388481935,140.0,140,0.076,19.374,226.7,0.54,0.0,0.04
1991-05-14,1991.3643835616438,1991,5,14,134,0.7412220108485958,-0.6712599575675313,1.0,1,0.034,20.446,231.3,0.0,0.0,6.04
1991-05-14,1991.3643835616438,1991,5,14,134,0.7412220108485958,-0.6712599575675313,20.0,20,0.06,20.088,232.7,0.0,0.0,6.62
1991-05-14,1991.3643835616438,1991,5,14,134,0.7412220108485958,-0.6712599575675313,40.0,40,0.12,19.157,238.6,0.0,0.0,6.84
