year,month,day,day_of_year,sin_doy,cos_doy,Depth,Temp,O2,NO3,PO4,PP
1988,12,18,353,-0.20510449986861926,0.9787400799669153,5.0,21.45,204.4,0.0,0.0,6.15
1988,12,18,353,-0.20510449986861926,0.9787400799669153,50.0,21.799,203.2,0.0,0.0,2.15
1988,12,18,353,-0.20510449986861926,0.9787400799669153,75.0,21.57,203.2,0.06,0.0,0.29
1988,12,18,353,-0.20510449986861926,0.9787400799669153,100.0,19.736,194.5,0.23,0.03,2.85
1988,12,18,353,-0.20510449986861926,0.9787400799669153,120.0,19.44,190.7,0.58,0.0,0.16
1989,1,27,27,0.4482293417404106,0.893918596519257,18.0,20.853,217.6,0.07,0.0,3.78
1989,1,27,27,0.4482293417404106,0.893918596519257,41.0,20.784,229.5,0.06,0.04,3.5
1989,1,27,27,0.4482293417404106,0.893918596519257,62.0,20.885,231.6,0.12,0.03,2.02
1989,1,27,27,0.4482293417404106,0.893918596519257,81.0,20.772,226.5,0.07,0.03,0.77
1989,1,27,27,0.4482293417404106,0.893918596519257,102.0,20.768,224.8,0.21,0.06,0.49
1989,2,19,50,0.7583058084785624,0.6518989958787126,20.0,19.438,236.2,0.3,0.03,8.11
1989,2,19,50,0.7583058084785624,0.6518989958787126,47.0,19.416,229.8,0.62,0.0,1.84
1989,2,19,50,0.7583058084785624,0.6518989958787126,100.0,19.382,228.6,0.85,0.0,0.12
1989,3,26,85,0.994217906893952,0.10738134666416309,4.0,20.805,233.4,0.18,0.0,4.02
1989,3,26,85,0.994217906893952,0.10738134666416309,15.0,20.931,232.5,0.14,0.0,2.85
1989,3,26,85,0.994217906893952,0.10738134666416309,25.0,20.582,234.2,0.27,0.0,3.8
1989,3,26,85,0.994217906893952,0.10738134666416309,35.0,20.449,234.6,0.2,0.0,3.54
1989,3,26,85,0.994217906893952,0.10738134666416309,53.0,20.36,232.4,0.15,0.0,2.96
1989,3,26,85,0.994217906893952,0.10738134666416309,70.0,19.801,233.7,0.0,0.0,0.4
1989,4,17,107,0.9634705485641488,-0.2678143051621742,5.0,20.961,233.4,0.0,0.0,3.57
1989,4,17,107,0.9634705485641488,-0.2678143051621742,17.0,20.976,232.1,0.0,0.0,3.5
1989,4,17,107,0.9634705485641488,-0.2678143051621742,32.0,20.744,232.1,0.0,0.0,2.49
1989,4,17,107,0.9634705485641488,-0.2678143051621742,50.0,20.3,239.7,0.0,0.0,2.45
1989,4,17,107,0.9634705485641488,-0.2678143051621742,64.0,19.677,240.1,0.0,0.0,2.14
1989,4,17,107,0.9634705485641488,-0.2678143051621742,75.0,19.514,230.7,0.05,0.0,3.16
1989,5,16,136,0.717676913675962,-0.6963762255968722,3.0,22.533,218.6,0.06,0.0,2.42
1989,5,16,136,0.717676913675962,-0.6963762255968722,14.0,21.655,221.5,0.08,0.0,1.72
1989,5,16,136,0.717676913675962,-0.6963762255968722,25.0,21.035,225.3,0.0,0.0,0.86
1989,5,16,136,0.717676913675962,-0.6963762255968722,39.0,20.699,232.1,0.06,0.0,2.17
1989,5,16,136,0.717676913675962,-0.6963762255968722,67.0,19.521,225.2,0.05,0.0,1.83
1989,5,16,136,0.717676913675962,-0.6963762255968722,97.0,19.204,217.1,0.86,0.0,0.67
1989,6,22,173,0.16280701293851715,-0.986657932891657,16.0,24.266,215.4,0.0,0.0,4.38
1989,6,22,173,0.16280701293851715,-0.986657932891657,24.0,22.597,226.7,0.0,0.0,4.27
1989,6,22,173,0.16280701293851715,-0.986657932891657,39.0,21.209,230.9,0.0,0.0,1.86
1989,6,22,173,0.16280701293851715,-0.986657932891657,66.0,20.062,234.6,0.0,0.05,3.92
1989,7,20,201,-0.3131070409358267,-0.9497178427914317,1.0,27.084,200.8,0.0,0.0,4.06
1989,7,20,201,-0.3131070409358267,-0.9497178427914317,20.0,26.79,200.8,0.0,0.0,4.3
1989,7,20,201,-0.3131070409358267,-0.9497178427914317,40.0,22.67,222.4,0.0,0.0,3.76
1989,7,20,201,-0.3131070409358267,-0.9497178427914317,60.0,21.244,223.6,0.0,0.0,3.75
1989,7,20,201,-0.3131070409358267,-0.9497178427914317,80.0,20.371,215.0,0.53,0.0,3.61
1989,7,20,201,-0.3131070409358267,-0.9497178427914317,100.0,19.788,205.2,0.08,0.0,3.35
1989,8,16,228,-0.7055836101071774,-0.70862667826446,1.0,26.281,204.5,0.0,0.0,2.75
1989,8,16,228,-0.7055836101071774,-0.70862667826446,20.0,26.116,205.4,0.0,0.0,5.39
1989,8,16,228,-0.7055836101071774,-0.70862667826446,40.0,24.367,219.6,0.0,0.0,2.83
1989,8,16,228,-0.7055836101071774,-0.70862667826446,60.0,21.567,243.7,0.0,0.0,2.41
1989,8,16,228,-0.7055836101071774,-0.70862667826446,80.0,20.515,228.7,0.0,0.0,0.87
1989,8,16,228,-0.7055836101071774,-0.70862667826446,100.0,19.559,215.4,0.71,0.0,0.38
1989,8,16,228,-0.7055836101071774,-0.70862667826446,120.0,19.201,209.0,0.99,0.0,0.89
1989,8,16,228,-0.7055836101071774,-0.70862667826446,140.0,18.993,211.1,2.32,0.03,0.21
1989,10,20,293,-0.9455963874271428,0.3253420847119795,1.0,26.181,205.3,0.42,0.04,4.46
1989,10,20,293,-0.9455963874271428,0.3253420847119795,20.0,25.835,201.0,0.06,0.0,4.09
1989,10,20,293,-0.9455963874271428,0.3253420847119795,40.0,25.729,202.3,0.1,0.0,1.12
1989,10,20,293,-0.9455963874271428,0.3253420847119795,60.0,23.573,215.7,1.2,0.0,1.84
1989,10,20,293,-0.9455963874271428,0.3253420847119795,80.0,21.84,212.6,0.35,0.0,0.97
1989,10,20,293,-0.9455963874271428,0.3253420847119795,100.0,20.611,223.1,0.0,0.0,0.4
1989,10,20,293,-0.9455963874271428,0.3253420847119795,120.0,19.963,209.5,0.16,0.0,0.13
1989,10,20,293,-0.9455963874271428,0.3253420847119795,140.0,19.573,201.4,1.59,0.05,0.08
1990,1,16,16,0.2719581575341055,0.9623090774541486,1.0,21.732,215.5,0.07,0.0,3.88
1990,1,16,16,0.2719581575341055,0.9623090774541486,20.0,21.727,215.1,0.0,0.0,4.27
1990,1,16,16,0.2719581575341055,0.9623090774541486,40.0,21.731,214.2,0.0,0.0,3.56
1990,1,16,16,0.2719581575341055,0.9623090774541486,60.0,21.795,215.5,0.0,0.0,1.91
1990,1,16,16,0.2719581575341055,0.9623090774541486,80.0,21.552,213.3,0.1,0.0,0.73
1990,1,16,16,0.2719581575341055,0.9623090774541486,100.0,21.081,212.5,0.0,0.0,0.05
1990,1,16,16,0.2719581575341055,0.9623090774541486,120.0,20.836,213.3,0.14,0.0,0.27
1990,1,16,16,0.2719581575341055,0.9623090774541486,140.0,19.556,203.5,0.75,0.0,0.11
1990,2,16,47,0.7236440382959124,0.6901733882429719,1.0,21.07,221.4,0.0,0.0,4.89
1990,2,16,47,0.7236440382959124,0.6901733882429719,20.0,21.07,220.1,0.05,0.0,7.32
1990,2,16,47,0.7236440382959124,0.6901733882429719,40.0,21.07,220.2,0.06,0.0,6.6
1990,2,16,47,0.7236440382959124,0.6901733882429719,60.0,21.04,219.3,0.37,0.0,4.59
1990,2,16,47,0.7236440382959124,0.6901733882429719,80.0,21.04,219.3,0.08,0.0,2.44
1990,2,16,47,0.7236440382959124,0.6901733882429719,100.0,21.07,216.7,0.09,0.0,1.11
1990,2,16,47,0.7236440382959124,0.6901733882429719,120.0,21.05,216.3,0.11,0.0,0.45
1990,2,16,47,0.7236440382959124,0.6901733882429719,140.0,21.03,217.6,0.0,0.0,-0.04
1990,3,13,72,0.9455963874271426,0.3253420847119801,1.0,20.367,220.9,0.0,0.0,7.38
1990,3,13,72,0.9455963874271426,0.3253420847119801,20.0,20.338,221.8,0.0,0.0,8.6
1990,3,13,72,0.9455963874271426,0.3253420847119801,40.0,20.152,221.8,0.52,0.0,7.45
1990,3,13,72,0.9455963874271426,0.3253420847119801,60.0,20.14,220.5,0.0,0.0,3.95
1990,3,13,72,0.9455963874271426,0.3253420847119801,80.0,20.069,218.4,0.07,0.0,0.95
1990,3,13,72,0.9455963874271426,0.3253420847119801,100.0,20.031,219.2,0.1,0.0,0.34
1990,3,13,72,0.9455963874271426,0.3253420847119801,120.0,19.316,205.6,1.32,0.0,0.16
1990,3,13,72,0.9455963874271426,0.3253420847119801,140.0,18.925,204.3,2.06,0.0,0.19
1990,4,17,107,0.9634705485641488,-0.2678143051621742,1.0,21.891,224.9,0.04,0.0,13.18
1990,4,17,107,0.9634705485641488,-0.2678143051621742,20.0,21.696,224.9,0.05,0.0,14.03
1990,4,17,107,0.9634705485641488,-0.2678143051621742,40.0,21.51,223.6,0.06,0.0,9.69
1990,4,17,107,0.9634705485641488,-0.2678143051621742,60.0,21.172,222.7,0.0,0.0,3.47
1990,4,17,107,0.9634705485641488,-0.2678143051621742,80.0,20.877,220.2,0.25,0.0,0.3
1990,4,17,107,0.9634705485641488,-0.2678143051621742,100.0,19.707,205.2,2.13,0.07,0.34
1990,4,17,107,0.9634705485641488,-0.2678143051621742,120.0,19.992,205.2,2.13,0.07,0.08
1990,4,17,107,0.9634705485641488,-0.2678143051621742,140.0,19.115,226.4,0.99,0.0,0.07
1990,5,9,129,0.7961828637826158,-0.6050560696488488,1.0,21.89,222.3,0.05,0.0,4.63
1990,5,9,129,0.7961828637826158,-0.6050560696488488,20.0,21.19,221.8,0.05,0.0,4.74
1990,5,9,129,0.7961828637826158,-0.6050560696488488,40.0,20.682,225.0,0.06,0.0,4.18
1990,5,9,129,0.7961828637826158,-0.6050560696488488,60.0,20.018,226.1,0.05,0.0,3.3
1990,5,9,129,0.7961828637826158,-0.6050560696488488,80.0,19.998,225.6,0.08,0.0,1.86
1990,5,9,129,0.7961828637826158,-0.6050560696488488,100.0,18.899,207.7,1.58,0.0,0.9
1990,5,9,129,0.7961828637826158,-0.6050560696488488,120.0,18.841,211.9,1.81,0.0,0.4
1990,6,22,173,0.16280701293851715,-0.986657932891657,1.0,25.067,209.9,0.05,0.0,5.59
1990,6,22,173,0.16280701293851715,-0.986657932891657,20.0,23.404,212.7,0.08,0.0,5.16
1990,6,22,173,0.16280701293851715,-0.986657932891657,40.0,21.809,222.8,0.05,0.0,3.92
1990,6,22,173,0.16280701293851715,-0.986657932891657,60.0,20.56,227.8,0.05,0.0,2.54
1990,6,22,173,0.16280701293851715,-0.986657932891657,80.0,19.941,226.5,0.05,0.0,1.46
1990,6,22,173,0.16280701293851715,-0.986657932891657,100.0,19.447,220.9,0.11,0.0,0.38
1990,6,22,173,0.16280701293851715,-0.986657932891657,120.0,19.296,215.4,0.64,0.0,0.12
1990,6,22,173,0.16280701293851715,-0.986657932891657,140.0,18.915,211.5,1.82,0.05,0.15
1990,7,17,198,-0.2636654927280072,-0.9646141756912435,1.0,27.166,211.1,0.09,0.04,2.56
1990,7,17,198,-0.2636654927280072,-0.9646141756912435,20.0,25.741,229.8,0.05,0.0,3.87
1990,7,17,198,-0.2636654927280072,-0.9646141756912435,40.0,21.882,226.2,0.05,0.0,2.6
1990,7,17,198,-0.2636654927280072,-0.9646141756912435,60.0,21.219,213.3,0.0,0.0,2.32
1990,7,17,198,-0.2636654927280072,-0.9646141756912435,80.0,20.286,217.1,0.0,0.0,1.09
1990,7,17,198,-0.2636654927280072,-0.9646141756912435,100.0,19.506,215.4,0.33,0.0,0.43
1990,7,17,198,-0.2636654927280072,-0.9646141756912435,120.0,19.128,209.0,1.28,0.03,-0.05
1990,7,17,198,-0.2636654927280072,-0.9646141756912435,140.0,18.935,209.0,2.11,0.08,0.02
1990,8,14,226,-0.6807734094770159,-0.7324940716135792,1.0,28.259,203.1,0.0,0.04,2.67
1990,8,14,226,-0.6807734094770159,-0.7324940716135792,20.0,27.368,205.1,0.0,0.0,3.14
1990,8,14,226,-0.6807734094770159,-0.7324940716135792,40.0,24.032,227.7,0.0,0.0,1.65
1990,8,14,226,-0.6807734094770159,-0.7324940716135792,60.0,22.945,232.7,0.0,0.0,2.74
1990,8,14,226,-0.6807734094770159,-0.7324940716135792,80.0,22.229,227.9,0.0,0.0,1.33
1990,8,14,226,-0.6807734094770159,-0.7324940716135792,100.0,20.977,215.5,0.0,0.0,1.18
1990,8,14,226,-0.6807734094770159,-0.7324940716135792,120.0,20.41,206.5,0.0,0.0,0.54
1990,8,14,226,-0.6807734094770159,-0.7324940716135792,140.0,19.341,190.7,0.89,0.0,0.19
1990,9,11,254,-0.9427611433904206,-0.33346877891818705,1.0,29.012,197.0,0.0,0.07,3.43
1990,9,11,254,-0.9427611433904206,-0.33346877891818705,20.0,28.086,198.6,0.0,0.04,3.9
1990,9,11,254,-0.9427611433904206,-0.33346877891818705,40.0,23.604,231.3,0.0,0.04,2.55
1990,9,11,254,-0.9427611433904206,-0.33346877891818705,60.0,22.129,230.0,0.0,0.04,2.36
1990,9,11,254,-0.9427611433904206,-0.33346877891818705,80.0,21.079,222.2,0.0,0.04,1.14
1990,9,11,254,-0.9427611433904206,-0.33346877891818705,100.0,20.078,208.8,0.0,0.04,0.63
1990,9,11,254,-0.9427611433904206,-0.33346877891818705,120.0,19.78,195.3,0.37,0.04,0.27
1990,9,11,254,-0.9427611433904206,-0.33346877891818705,140.0,19.245,195.5,1.14,0.05,0.16
1990,10,15,288,-0.970063921851507,0.2428497220959358,1.0,25.882,211.5,0.0,0.0,4.87
1990,10,15,288,-0.970063921851507,0.2428497220959358,20.0,25.474,210.3,0.0,0.0,5.08
1990,10,15,288,-0.970063921851507,0.2428497220959358,40.0,24.239,225.9,0.0,0.0,3.17
1990,10,15,288,-0.970063921851507,0.2428497220959358,60.0,22.436,229.8,0.0,0.0,3.81
1990,10,15,288,-0.970063921851507,0.2428497220959358,80.0,21.826,226.1,0.0,0.0,2.24
1990,10,15,288,-0.970063921851507,0.2428497220959358,100.0,20.618,214.9,0.0,0.0,1.18
1990,10,15,288,-0.970063921851507,0.2428497220959358,120.0,20.009,215.3,0.09,0.0,0.48
1990,10,15,288,-0.970063921851507,0.2428497220959358,140.0,19.612,209.9,0.48,0.0,0.06
1990,11,6,310,-0.8115390590073611,0.5842981736283683,1.0,24.415,214.0,0.0,0.0,4.01
1990,11,6,310,-0.8115390590073611,0.5842981736283683,20.0,24.423,213.3,0.35,0.0,5.32
1990,11,6,310,-0.8115390590073611,0.5842981736283683,40.0,24.363,219.2,0.0,0.0,4.79
1990,11,6,310,-0.8115390590073611,0.5842981736283683,60.0,21.981,232.4,0.0,0.0,3.51
1990,11,6,310,-0.8115390590073611,0.5842981736283683,80.0,21.565,227.4,0.0,0.0,2.18
1990,11,6,310,-0.8115390590073611,0.5842981736283683,100.0,20.807,219.5,0.0,0.0,1.01
1990,11,6,310,-0.8115390590073611,0.5842981736283683,120.0,19.86,212.9,0.49,0.0,0.34
1990,11,6,310,-0.8115390590073611,0.5842981736283683,140.0,19.411,208.0,1.02,0.0,0.07
1990,12,3,337,-0.4635502709028512,0.8860706215341378,1.0,22.946,218.3,0.0,0.0,8.11
1990,12,3,337,-0.4635502709028512,0.8860706215341378,20.0,22.7,219.1,0.0,0.0,7.29
1990,12,3,337,-0.4635502709028512,0.8860706215341378,40.0,22.409,219.1,0.0,0.0,5.58
1990,12,3,337,-0.4635502709028512,0.8860706215341378,60.0,22.39,217.8,0.0,0.0,2.59
1990,12,3,337,-0.4635502709028512,0.8860706215341378,80.0,22.389,217.4,0.0,0.0,1.02
1990,12,3,337,-0.4635502709028512,0.8860706215341378,100.0,21.57,220.3,0.0,0.0,0.26
1990,12,3,337,-0.4635502709028512,0.8860706215341378,120.0,20.135,207.2,1.34,0.0,0.27
1990,12,3,337,-0.4635502709028512,0.8860706215341378,140.0,19.633,207.6,1.8,0.0,-0.05
1991,1,15,15,0.255353295116187,0.9668478136052775,1.0,21.106,224.2,0.0,0.0,9.56
1991,1,15,15,0.255353295116187,0.9668478136052775,20.0,20.979,223.7,0.0,0.0,10.61
1991,1,15,15,0.255353295116187,0.9668478136052775,40.0,20.968,224.7,0.0,0.0,6.94
1991,1,15,15,0.255353295116187,0.9668478136052775,60.0,20.88,224.7,0.0,0.0,3.12
1991,1,15,15,0.255353295116187,0.9668478136052775,80.0,20.94,222.4,0.06,0.0,0.96
1991,1,15,15,0.255353295116187,0.9668478136052775,100.0,20.822,219.0,0.34,0.0,0.34
1991,1,15,15,0.255353295116187,0.9668478136052775,120.0,20.78,218.7,0.45,0.0,0.11
1991,1,15,15,0.255353295116187,0.9668478136052775,140.0,20.395,209.6,1.33,0.0,0.0
1991,1,30,30,0.49377555015997715,0.869589389346611,1.0,20.619,224.8,0.0,0.0,6.8
1991,1,30,30,0.49377555015997715,0.869589389346611,20.0,20.706,224.8,0.0,0.0,5.97
1991,1,30,30,0.49377555015997715,0.869589389346611,40.0,20.614,222.7,0.0,0.0,3.21
1991,1,30,30,0.49377555015997715,0.869589389346611,60.0,20.58,222.7,0.0,0.0,3.37
1991,1,30,30,0.49377555015997715,0.869589389346611,80.0,20.388,221.5,0.15,0.0,0.56
1991,1,30,30,0.49377555015997715,0.869589389346611,100.0,20.385,221.3,0.17,0.0,0.18
1991,1,30,30,0.49377555015997715,0.869589389346611,120.0,20.374,220.0,0.25,0.0,0.03
1991,1,30,30,0.49377555015997715,0.869589389346611,140.0,20.027,215.4,0.65,0.0,-0.07
1991,2,20,51,0.7694148268839378,0.6387494220515272,1.0,20.584,224.8,0.14,0.0,4.43
1991,2,20,51,0.7694148268839378,0.6387494220515272,40.0,20.377,225.4,0.27,0.0,1.59
1991,2,20,51,0.7694148268839378,0.6387494220515272,60.0,20.377,225.4,0.27,0.0,0.78
1991,2,20,51,0.7694148268839378,0.6387494220515272,80.0,20.381,224.4,0.12,0.0,0.64
1991,2,20,51,0.7694148268839378,0.6387494220515272,100.0,20.385,225.0,0.11,0.0,0.15
1991,2,20,51,0.7694148268839378,0.6387494220515272,120.0,20.389,223.7,0.13,0.0,0.05
1991,2,20,51,0.7694148268839378,0.6387494220515272,140.0,20.393,224.0,0.13,0.0,-0.15
1991,3,21,80,0.9813064702716093,0.19245158197082998,20.0,19.181,227.0,0.37,0.0,15.69
1991,3,21,80,0.9813064702716093,0.19245158197082998,40.0,19.185,229.4,0.39,0.0,17.04
1991,3,21,80,0.9813064702716093,0.19245158197082998,60.0,19.179,227.4,0.39,0.0,3.48
1991,3,21,80,0.9813064702716093,0.19245158197082998,100.0,19.186,227.7,0.4,0.0,0.12
1991,3,21,80,0.9813064702716093,0.19245158197082998,120.0,19.191,230.8,0.4,0.0,0.22
1991,3,21,80,0.9813064702716093,0.19245158197082998,140.0,19.184,227.5,0.39,0.0,0.01
1991,4,5,95,0.9979171608653922,-0.06450844944931623,1.0,19.479,230.5,0.23,0.0,17.82
1991,4,5,95,0.9979171608653922,-0.06450844944931623,40.0,19.414,230.2,0.24,0.0,11.46
1991,4,5,95,0.9979171608653922,-0.06450844944931623,60.0,19.413,230.0,0.26,0.0,4.58
1991,4,5,95,0.9979171608653922,-0.06450844944931623,80.0,19.416,229.2,0.27,0.0,1.43
1991,4,5,95,0.9979171608653922,-0.06450844944931623,100.0,19.416,230.1,0.3,0.0,0.22
1991,4,5,95,0.9979171608653922,-0.06450844944931623,120.0,19.412,229.7,0.34,0.0,-0.02
1991,4,5,95,0.9979171608653922,-0.06450844944931623,140.0,19.36,227.2,0.4,0.0,0.03
1991,4,16,106,0.9679377830240642,-0.25119006388481935,1.0,19.879,231.4,0.0,0.0,9.71
1991,4,16,106,0.9679377830240642,-0.25119006388481935,20.0,19.536,231.2,0.0,0.0,10.91
1991,4,16,106,0.9679377830240642,-0.25119006388481935,40.0,19.488,230.7,0.0,0.0,8.38
1991,4,16,106,0.9679377830240642,-0.25119006388481935,60.0,19.478,230.7,0.08,0.0,5.37
1991,4,16,106,0.9679377830240642,-0.25119006388481935,80.0,19.449,228.8,0.11,0.0,2.11
1991,4,16,106,0.9679377830240642,-0.25119006388481935,100.0,19.387,225.5,0.61,0.0,0.44
1991,4,16,106,0.9679377830240642,-0.25119006388481935,120.0,19.384,225.8,0.47,0.0,0.69
1991,4,16,106,0.9679377830240642,-0.25119006388481935,140.0,19.374,226.7,0.54,0.0,0.04
1991,5,14,134,0.7412220108485958,-0.6712599575675313,1.0,20.446,231.3,0.0,0.0,6.04
1991,5,14,134,0.7412220108485958,-0.6712599575675313,20.0,20.088,232.7,0.0,0.0,6.62
1991,5,14,134,0.7412220108485958,-0.6712599575675313,40.0,19.157,238.6,0.0,0.0,6.84
1991,5,14,134,0.7412220108485958,-0.6712599575675313,60.0,19.157,238.6,0.0,0.0,3.15
1991,5,14,134,0.7412220108485958,-0.6712599575675313,80.0,18.726,229.7,0.53,0.0,4.0
1991,5,14,134,0.7412220108485958,-0.6712599575675313,100.0,18.704,228.4,0.84,0.0,0.54
1991,5,14,134,0.7412220108485958,-0.6712599575675313,120.0,18.682,225.4,1.04,0.05,0.1
1991,5,14,134,0.7412220108485958,-0.6712599575675313,140.0,18.659,227.2,1.06,0.05,0.02
1991,6,19,170,0.21352091543979612,-0.9769384927771817,1.0,25.458,215.0,0.0,0.0,2.98
1991,6,19,170,0.21352091543979612,-0.9769384927771817,20.0,23.901,225.2,0.0,0.0,4.34
1991,6,19,170,0.21352091543979612,-0.9769384927771817,40.0,21.034,235.9,0.0,0.0,4.5
1991,6,19,170,0.21352091543979612,-0.9769384927771817,60.0,21.203,235.9,0.0,0.0,5.49
1991,6,19,170,0.21352091543979612,-0.9769384927771817,100.0,19.592,226.5,0.0,0.0,1.88
1991,6,19,170,0.21352091543979612,-0.9769384927771817,120.0,19.342,221.8,0.44,0.0,0.92
1991,6,19,170,0.21352091543979612,-0.9769384927771817,140.0,19.212,218.1,1.26,0.0,0.11
1991,7,16,197,-0.24702218048093527,-0.9690098257244063,1.0,27.445,213.5,0.0,0.0,4.61
1991,7,16,197,-0.24702218048093527,-0.9690098257244063,20.0,26.527,234.7,0.0,0.0,4.93
1991,7,16,197,-0.24702218048093527,-0.9690098257244063,40.0,21.966,238.9,0.0,0.0,4.99
1991,7,16,197,-0.24702218048093527,-0.9690098257244063,60.0,20.735,226.4,0.0,0.0,5.02
1991,7,16,197,-0.24702218048093527,-0.9690098257244063,80.0,20.045,219.2,0.45,0.0,3.65
1991,7,16,197,-0.24702218048093527,-0.9690098257244063,100.0,19.471,214.8,1.4,0.06,2.47
1991,7,16,197,-0.24702218048093527,-0.9690098257244063,120.0,19.063,213.9,1.75,0.08,0.15
1991,7,16,197,-0.24702218048093527,-0.9690098257244063,140.0,18.789,216.0,2.29,0.11,0.37
1991,9,11,254,-0.9427611433904206,-0.33346877891818705,1.0,26.424,206.4,0.0,0.0,2.46
1991,9,11,254,-0.9427611433904206,-0.33346877891818705,20.0,26.496,207.1,0.0,0.0,1.87
1991,9,11,254,-0.9427611433904206,-0.33346877891818705,40.0,23.397,232.9,0.0,0.0,1.6
1991,9,11,254,-0.9427611433904206,-0.33346877891818705,60.0,21.171,243.0,0.0,0.0,1.91
1991,9,11,254,-0.9427611433904206,-0.33346877891818705,80.0,21.355,228.9,0.0,0.0,0.58
1991,9,11,254,-0.9427611433904206,-0.33346877891818705,100.0,19.726,217.6,0.23,0.0,0.34
1991,9,11,254,-0.9427611433904206,-0.33346877891818705,120.0,19.013,210.7,1.36,0.05,0.36
1991,9,11,254,-0.9427611433904206,-0.33346877891818705,140.0,18.854,211.2,1.92,0.07,0.16
1991,10,8,281,-0.9922222094179324,0.12447926388678869,1.0,25.772,210.8,0.0,0.0,2.01
1991,10,8,281,-0.9922222094179324,0.12447926388678869,20.0,25.173,210.5,0.0,0.0,3.28
1991,10,8,281,-0.9922222094179324,0.12447926388678869,40.0,24.828,214.3,0.0,0.0,2.51
1991,10,8,281,-0.9922222094179324,0.12447926388678869,60.0,21.439,237.7,0.0,0.0,1.66
1991,10,8,281,-0.9922222094179324,0.12447926388678869,80.0,20.144,226.7,0.0,0.0,0.89
1991,10,8,281,-0.9922222094179324,0.12447926388678869,100.0,19.569,230.2,0.06,0.0,1.35
1991,10,8,281,-0.9922222094179324,0.12447926388678869,120.0,19.185,213.6,0.81,0.0,0.16
1991,10,8,281,-0.9922222094179324,0.12447926388678869,140.0,18.976,210.2,1.38,0.0,0.02
1991,11,12,316,-0.7469720876965551,0.6648553979642866,1.0,23.381,217.1,0.0,0.0,3.13
1991,11,12,316,-0.7469720876965551,0.6648553979642866,20.0,23.376,217.1,0.0,0.0,4.0
1991,11,12,316,-0.7469720876965551,0.6648553979642866,40.0,23.229,225.2,0.0,0.0,3.64
1991,11,12,316,-0.7469720876965551,0.6648553979642866,60.0,22.291,226.4,0.0,0.0,3.03
1991,11,12,316,-0.7469720876965551,0.6648553979642866,80.0,19.881,217.5,0.22,0.0,2.46
1991,11,12,316,-0.7469720876965551,0.6648553979642866,100.0,19.449,210.9,0.81,0.0,-0.46
1991,11,12,316,-0.7469720876965551,0.6648553979642866,120.0,19.141,207.9,2.1,0.06,0.36
1991,12,9,343,-0.3697245428906732,0.9291414114031743,1.0,22.796,219.9,0.0,0.0,3.86
1991,12,9,343,-0.3697245428906732,0.9291414114031743,20.0,22.698,222.0,0.0,0.0,3.17
1991,12,9,343,-0.3697245428906732,0.9291414114031743,40.0,22.682,217.4,0.0,0.0,2.69
1991,12,9,343,-0.3697245428906732,0.9291414114031743,60.0,22.685,218.1,0.0,0.0,2.03
1991,12,9,343,-0.3697245428906732,0.9291414114031743,80.0,22.664,218.0,0.0,0.0,1.64
1991,12,9,343,-0.3697245428906732,0.9291414114031743,100.0,20.172,220.4,0.0,0.0,2.12
1991,12,9,343,-0.3697245428906732,0.9291414114031743,120.0,19.52,214.1,0.45,0.0,-0.32
1991,12,9,343,-0.3697245428906732,0.9291414114031743,140.0,19.22,209.1,0.81,0.0,0.01
1992,1,9,9,0.15430882066428117,0.9880226656636976,1.0,20.732,221.8,0.07,0.0,10.49
1992,1,9,9,0.15430882066428117,0.9880226656636976,20.0,20.738,221.9,0.07,0.0,9.36
1992,1,9,9,0.15430882066428117,0.9880226656636976,40.0,20.74,221.0,0.08,0.0,4.58
1992,1,9,9,0.15430882066428117,0.9880226656636976,60.0,20.745,221.7,0.09,0.0,1.49
1992,1,9,9,0.15430882066428117,0.9880226656636976,80.0,20.75,225.7,0.12,0.0,0.12
1992,1,9,9,0.15430882066428117,0.9880226656636976,100.0,20.791,220.5,0.12,0.0,0.25
1992,1,9,9,0.15430882066428117,0.9880226656636976,120.0,20.768,218.6,0.31,0.0,-0.02
1992,1,9,9,0.15430882066428117,0.9880226656636976,140.0,20.217,209.5,1.08,0.0,0.01
1992,1,28,28,0.4635502709028509,0.886070621534138,1.0,19.647,229.3,0.57,0.0,13.1
1992,1,28,28,0.4635502709028509,0.886070621534138,20.0,19.652,225.7,0.58,0.0,12.56
1992,1,28,28,0.4635502709028509,0.886070621534138,40.0,19.636,224.0,0.59,0.0,7.4
1992,1,28,28,0.4635502709028509,0.886070621534138,60.0,19.653,224.3,0.59,0.0,2.88
1992,1,28,28,0.4635502709028509,0.886070621534138,80.0,19.664,223.8,0.58,0.0,1.08
1992,1,28,28,0.4635502709028509,0.886070621534138,100.0,19.668,225.8,0.59,0.0,0.28
1992,1,28,28,0.4635502709028509,0.886070621534138,120.0,19.613,225.0,0.59,0.03,0.12
1992,1,28,28,0.4635502709028509,0.886070621534138,140.0,19.612,226.0,0.58,0.0,-0.02
1992,2,13,44,0.6870527672236669,0.7266075247685656,1.0,19.368,224.7,0.65,0.0,15.77
1992,2,13,44,0.6870527672236669,0.7266075247685656,20.0,19.321,226.2,0.65,0.0,16.35
1992,2,13,44,0.6870527672236669,0.7266075247685656,40.0,19.287,224.1,0.63,0.0,11.8
1992,2,13,44,0.6870527672236669,0.7266075247685656,60.0,19.29,224.9,0.64,0.0,4.86
